a,category,filename,prompt,style,size,seed,n
9,urban-everyday-life,1-1-1-rainy-street-corner-with-tiny,"Highly detailed diorama of rainy street corner with tiny phone booth bookstore glowing in the mist, in the style of Handcrafted city dioramas blending Ghibli calm, watercolor memories, and steampunk charm — misty, nostalgic, and softly lit.",natural,1024x1024,,1
9,urban-everyday-life,1-1-2-rainy-street-corner-with-tiny,"rainy street corner with tiny phone booth bookstore glowing in the mist rendered with handcrafted miniature textures and cinematic lighting, blending Handcrafted city dioramas blending Ghibli calm, watercolor memories, and steampunk charm — misty, nostalgic, and softly lit.",natural,1024x1024,,1
9,urban-everyday-life,1-2-1-inside-the-bookstore-paperback,"Highly detailed diorama of inside the bookstore: paperback towers and string lights wrapping a ladder, in the style of Handcrafted city dioramas blending Ghibli calm, watercolor memories, and steampunk charm — misty, nostalgic, and softly lit.",natural,1024x1024,,1
9,urban-everyday-life,1-2-2-inside-the-bookstore-paperback,"inside the bookstore: paperback towers and string lights wrapping a ladder rendered with handcrafted miniature textures and cinematic lighting, blending Handcrafted city dioramas blending Ghibli calm, watercolor memories, and steampunk charm — misty, nostalgic, and softly lit.",natural,1024x1024,,1
9,urban-everyday-life,1-3-1-rooftop-garden-hidden-between,"Highly detailed diorama of rooftop garden hidden between apartment blocks ghibli-style plants and teacup, in the style of Handcrafted city dioramas blending Ghibli calm, watercolor memories, and steampunk charm — misty, nostalgic, and softly lit.",natural,1024x1024,,1
9,urban-everyday-life,1-3-2-rooftop-garden-hidden-between,"rooftop garden hidden between apartment blocks ghibli-style plants and teacup rendered with handcrafted miniature textures and cinematic lighting, blending Handcrafted city dioramas blending Ghibli calm, watercolor memories, and steampunk charm — misty, nostalgic, and softly lit.",natural,1024x1024,,1
9,urban-everyday-life,1-4-1-narrow-alley-with-clothes-on-t,"Highly detailed diorama of narrow alley with clothes on the line cat watching from a window, in the style of Handcrafted city dioramas blending Ghibli calm, watercolor memories, and steampunk charm — misty, nostalgic, and softly lit.",natural,1024x1024,,1
1,urban-everyday-life,1-4-2-narrow-alley-with-clothes-on-t,"narrow alley with clothes on the line cat watching from a window rendered with handcrafted miniature textures and cinematic lighting, blending Handcrafted city dioramas blending Ghibli calm, watercolor memories, and steampunk charm — misty, nostalgic, and softly lit.",natural,1024x1024,,1
1,urban-everyday-life,1-5-1-cyberpunkstyle-night-market-in,"Highly detailed diorama of cyberpunk-style night market in parking lot fairy lights and neon hues, in the style of Handcrafted city dioramas blending Ghibli calm, watercolor memories, and steampunk charm — misty, nostalgic, and softly lit.",natural,1024x1024,,1
1,urban-everyday-life,1-5-2-cyberpunkstyle-night-market-in,"cyberpunk-style night market in parking lot fairy lights and neon hues rendered with handcrafted miniature textures and cinematic lighting, blending Handcrafted city dioramas blending Ghibli calm, watercolor memories, and steampunk charm — misty, nostalgic, and softly lit.",natural,1024x1024,,1
