a,category,filename,prompt,style,size,seed,n
9,1-urban-everyday-life,1-1-1-rainy-street-corner-with-tiny,"Rainy street corner with tiny phone booth bookstore glowing in the mist. Styled as a handcrafted cinematic diorama, with textures of clay, paper, and wood. Photographic lighting, miniature realism, and emotional atmosphere. Inspired by Wes Anderson, Laika Studios, Studio Ghibli, and miniature photography.",vivid,1024x1024,,1
9,1-urban-everyday-life,1-1-2-rainy-street-corner-with-tiny,"Visualize: Rainy street corner with tiny phone booth bookstore glowing in the mist. Diorama-style composition with soft cinematic lighting, real-world textures like felt, glass, copper, and natural wood grain. Style fusion of stop-motion film, storybook art, and realistic model sets.",vivid,1024x1024,,1
9,1-urban-everyday-life,1-2-1-inside-the-bookstore-paperback,"Inside the bookstore: paperback towers and string lights wrapping a ladder. Styled as a handcrafted cinematic diorama, with textures of clay, paper, and wood. Photographic lighting, miniature realism, and emotional atmosphere. Inspired by Wes Anderson, Laika Studios, Studio Ghibli, and miniature photography.",vivid,1024x1024,,1
9,1-urban-everyday-life,1-2-2-inside-the-bookstore-paperback,"Visualize: Inside the bookstore: paperback towers and string lights wrapping a ladder. Diorama-style composition with soft cinematic lighting, real-world textures like felt, glass, copper, and natural wood grain. Style fusion of stop-motion film, storybook art, and realistic model sets.",vivid,1024x1024,,1
9,1-urban-everyday-life,1-3-1-rooftop-garden-hidden-between,"Rooftop garden hidden between apartment blocks, Ghibli-style plants and teacup. Styled as a handcrafted cinematic diorama, with textures of clay, paper, and wood. Photographic lighting, miniature realism, and emotional atmosphere. Inspired by Wes Anderson, Laika Studios, Studio Ghibli, and miniature photography.",vivid,1024x1024,,1
9,1-urban-everyday-life,1-3-2-rooftop-garden-hidden-between,"Visualize: Rooftop garden hidden between apartment blocks, Ghibli-style plants and teacup. Diorama-style composition with soft cinematic lighting, real-world textures like felt, glass, copper, and natural wood grain. Style fusion of stop-motion film, storybook art, and realistic model sets.",vivid,1024x1024,,1
9,1-urban-everyday-life,1-4-1-narrow-alley-with-clothes-on-t,"Narrow alley with clothes on the line, cat watching from a window. Styled as a handcrafted cinematic diorama, with textures of clay, paper, and wood. Photographic lighting, miniature realism, and emotional atmosphere. Inspired by Wes Anderson, Laika Studios, Studio Ghibli, and miniature photography.",vivid,1024x1024,,1
9,1-urban-everyday-life,1-4-2-narrow-alley-with-clothes-on-t,"Visualize: Narrow alley with clothes on the line, cat watching from a window. Diorama-style composition with soft cinematic lighting, real-world textures like felt, glass, copper, and natural wood grain. Style fusion of stop-motion film, storybook art, and realistic model sets.",vivid,1024x1024,,1
9,1-urban-everyday-life,1-5-1-cyberpunkstyle-night-market-in,"Cyberpunk-style night market in parking lot, fairy lights and neon hues. Styled as a handcrafted cinematic diorama, with textures of clay, paper, and wood. Photographic lighting, miniature realism, and emotional atmosphere. Inspired by Wes Anderson, Laika Studios, Studio Ghibli, and miniature photography.",vivid,1024x1024,,1
9,1-urban-everyday-life,1-5-2-cyberpunkstyle-night-market-in,"Visualize: Cyberpunk-style night market in parking lot, fairy lights and neon hues. Diorama-style composition with soft cinematic lighting, real-world textures like felt, glass, copper, and natural wood grain. Style fusion of stop-motion film, storybook art, and realistic model sets.",vivid,1024x1024,,1
9,1-urban-everyday-life,1-6-1-steampunk-caf-behind-hidden-bo,"Steampunk café behind hidden bookshelf, espresso hissing and gears ticking. Styled as a handcrafted cinematic diorama, with textures of clay, paper, and wood. Photographic lighting, miniature realism, and emotional atmosphere. Inspired by Wes Anderson, Laika Studios, Studio Ghibli, and miniature photography.",vivid,1024x1024,,1
9,1-urban-everyday-life,1-6-2-steampunk-caf-behind-hidden-bo,"Visualize: Steampunk café behind hidden bookshelf, espresso hissing and gears ticking. Diorama-style composition with soft cinematic lighting, real-world textures like felt, glass, copper, and natural wood grain. Style fusion of stop-motion film, storybook art, and realistic model sets.",vivid,1024x1024,,1
9,2-fantasy-realms,2-1-1-floating-wizard-tower-with-sta,"Floating wizard tower with stained glass and magical vines in the sky. Styled as a handcrafted cinematic diorama, with textures of clay, paper, and wood. Photographic lighting, miniature realism, and emotional atmosphere. Inspired by Wes Anderson, Laika Studios, Studio Ghibli, and miniature photography.",vivid,1024x1024,,1
9,2-fantasy-realms,2-1-2-floating-wizard-tower-with-sta,"Visualize: Floating wizard tower with stained glass and magical vines in the sky. Diorama-style composition with soft cinematic lighting, real-world textures like felt, glass, copper, and natural wood grain. Style fusion of stop-motion film, storybook art, and realistic model sets.",vivid,1024x1024,,1
9,2-fantasy-realms,2-2-1-elven-market-beneath-ancient-t,"Elven market beneath ancient trees, fairy-tale hand-drawn illustration style. Styled as a handcrafted cinematic diorama, with textures of clay, paper, and wood. Photographic lighting, miniature realism, and emotional atmosphere. Inspired by Wes Anderson, Laika Studios, Studio Ghibli, and miniature photography.",vivid,1024x1024,,1
9,2-fantasy-realms,2-2-2-elven-market-beneath-ancient-t,"Visualize: Elven market beneath ancient trees, fairy-tale hand-drawn illustration style. Diorama-style composition with soft cinematic lighting, real-world textures like felt, glass, copper, and natural wood grain. Style fusion of stop-motion film, storybook art, and realistic model sets.",vivid,1024x1024,,1
9,2-fantasy-realms,2-3-1-glowing-mushroom-village-with,"Glowing mushroom village with claymation texture and mossy paths. Styled as a handcrafted cinematic diorama, with textures of clay, paper, and wood. Photographic lighting, miniature realism, and emotional atmosphere. Inspired by Wes Anderson, Laika Studios, Studio Ghibli, and miniature photography.",vivid,1024x1024,,1
9,2-fantasy-realms,2-3-2-glowing-mushroom-village-with,"Visualize: Glowing mushroom village with claymation texture and mossy paths. Diorama-style composition with soft cinematic lighting, real-world textures like felt, glass, copper, and natural wood grain. Style fusion of stop-motion film, storybook art, and realistic model sets.",vivid,1024x1024,,1
9,2-fantasy-realms,2-4-1-pumpkin-house-with-gothic-kitc,"Pumpkin house with gothic kitchen, potion bottles and eerie shadows. Styled as a handcrafted cinematic diorama, with textures of clay, paper, and wood. Photographic lighting, miniature realism, and emotional atmosphere. Inspired by Wes Anderson, Laika Studios, Studio Ghibli, and miniature photography.",vivid,1024x1024,,1
9,2-fantasy-realms,2-4-2-pumpkin-house-with-gothic-kitc,"Visualize: Pumpkin house with gothic kitchen, potion bottles and eerie shadows. Diorama-style composition with soft cinematic lighting, real-world textures like felt, glass, copper, and natural wood grain. Style fusion of stop-motion film, storybook art, and realistic model sets.",vivid,1024x1024,,1
9,3-scifi-futuristic,3-1-1-room-in-orbit-with-saturn-visi,"Room in orbit with Saturn visible through panoramic window and floating cup. Styled as a handcrafted cinematic diorama, with textures of clay, paper, and wood. Photographic lighting, miniature realism, and emotional atmosphere. Inspired by Wes Anderson, Laika Studios, Studio Ghibli, and miniature photography.",vivid,1024x1024,,1
9,3-scifi-futuristic,3-1-2-room-in-orbit-with-saturn-visi,"Visualize: Room in orbit with Saturn visible through panoramic window and floating cup. Diorama-style composition with soft cinematic lighting, real-world textures like felt, glass, copper, and natural wood grain. Style fusion of stop-motion film, storybook art, and realistic model sets.",vivid,1024x1024,,1
9,3-scifi-futuristic,3-2-1-cyberpunk-street-vendor-with-t,"Cyberpunk street vendor with tech scraps and neon menus. Styled as a handcrafted cinematic diorama, with textures of clay, paper, and wood. Photographic lighting, miniature realism, and emotional atmosphere. Inspired by Wes Anderson, Laika Studios, Studio Ghibli, and miniature photography.",vivid,1024x1024,,1
9,3-scifi-futuristic,3-2-2-cyberpunk-street-vendor-with-t,"Visualize: Cyberpunk street vendor with tech scraps and neon menus. Diorama-style composition with soft cinematic lighting, real-world textures like felt, glass, copper, and natural wood grain. Style fusion of stop-motion film, storybook art, and realistic model sets.",vivid,1024x1024,,1
9,3-scifi-futuristic,3-3-1-1950sstyle-diner-on-mars-with,"1950s-style diner on Mars with retro booths and oxygen soda. Styled as a handcrafted cinematic diorama, with textures of clay, paper, and wood. Photographic lighting, miniature realism, and emotional atmosphere. Inspired by Wes Anderson, Laika Studios, Studio Ghibli, and miniature photography.",vivid,1024x1024,,1
9,3-scifi-futuristic,3-3-2-1950sstyle-diner-on-mars-with,"Visualize: 1950s-style diner on Mars with retro booths and oxygen soda. Diorama-style composition with soft cinematic lighting, real-world textures like felt, glass, copper, and natural wood grain. Style fusion of stop-motion film, storybook art, and realistic model sets.",vivid,1024x1024,,1
9,3-scifi-futuristic,3-4-1-robot-repair-shop-pixarinspire,"Robot repair shop, Pixar-inspired robots offering tools and oil. Styled as a handcrafted cinematic diorama, with textures of clay, paper, and wood. Photographic lighting, miniature realism, and emotional atmosphere. Inspired by Wes Anderson, Laika Studios, Studio Ghibli, and miniature photography.",vivid,1024x1024,,1
9,3-scifi-futuristic,3-4-2-robot-repair-shop-pixarinspire,"Visualize: Robot repair shop, Pixar-inspired robots offering tools and oil. Diorama-style composition with soft cinematic lighting, real-world textures like felt, glass, copper, and natural wood grain. Style fusion of stop-motion film, storybook art, and realistic model sets.",vivid,1024x1024,,1
9,3-scifi-futuristic,3-5-1-underwater-futuristic-city-wit,"Underwater futuristic city with coral-glass towers and bioluminescent roads. Styled as a handcrafted cinematic diorama, with textures of clay, paper, and wood. Photographic lighting, miniature realism, and emotional atmosphere. Inspired by Wes Anderson, Laika Studios, Studio Ghibli, and miniature photography.",vivid,1024x1024,,1
9,3-scifi-futuristic,3-5-2-underwater-futuristic-city-wit,"Visualize: Underwater futuristic city with coral-glass towers and bioluminescent roads. Diorama-style composition with soft cinematic lighting, real-world textures like felt, glass, copper, and natural wood grain. Style fusion of stop-motion film, storybook art, and realistic model sets.",vivid,1024x1024,,1
