folder_name,image_prompt,dzine_prompt
classic-traditional,"A highly detailed Renaissance-style portrait of a noblewoman, soft lighting, realistic textures, intricate clothing with lace and embroidery, warm earthy color palette, background with classical architecture.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a highly detailed renaissance-style portrait of a noblewoman to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the background with classical architecture.."
classic-traditional,"A colorful impressionist landscape of a garden at sunrise, visible brush strokes, soft focus, light playing on flowers and trees, pastel hues with pinks, greens, and blues, vibrant and airy atmosphere.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a colorful impressionist landscape of a garden at sunrise to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the vibrant and airy atmosphere.."
classic-traditional,"Abstract cubist painting of a musician playing guitar, fragmented geometric shapes, multiple perspectives, muted earth tones mixed with bright accents, sharp angular lines, layered composition.","Animate the scene by adding subtle movement that reinforces the original image concept: bring abstract cubist painting of a musician playing guitar to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the layered composition.."
classic-traditional,"A dreamlike surrealist scene with floating clocks, melting objects, and distorted landscapes, vivid colors with deep shadows, bizarre and fantastical imagery, inspired by Salvador Dalí.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a dreamlike surrealist scene with floating clocks to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the inspired by Salvador Dalí.."
classic-traditional,"A pointillism style portrait of a woman, composed of thousands of tiny colored dots, vibrant color dots blending to form realistic shading, detailed facial features, soft and textured appearance.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a pointillism style portrait of a woman to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the soft and textured appearance.."
classic-traditional,"A dramatic Baroque painting of a battle scene, strong contrasts of light and shadow (chiaroscuro), rich textures, muscular figures in dynamic poses, deep reds and golds, intense emotional expressions.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a dramatic baroque painting of a battle scene to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the intense emotional expressions.."
classic-traditional,"An elegant Art Nouveau poster featuring a woman with flowing hair surrounded by stylized flowers and vines, organic lines, pastel colors with gold accents, decorative borders, graceful curves.","Animate the scene by adding subtle movement that reinforces the original image concept: bring an elegant art nouveau poster featuring a woman with flowing hair surrounded by stylized flowers and vines to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the graceful curves.."
classic-traditional,"A bold expressionist portrait with exaggerated facial features, intense emotional colors like reds, blues, and blacks, rough brush strokes, abstracted forms conveying inner turmoil.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a bold expressionist portrait with exaggerated facial features to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the abstracted forms conveying inner turmoil.."
classic-traditional,"A Fauvist landscape with wild, unnatural colors like bright orange, purple, and green, simplified shapes, thick paint textures, joyful and vibrant mood, inspired by Henri Matisse.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a fauvist landscape with wild to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the inspired by Henri Matisse.."
classic-traditional,"A bright pop art style comic panel featuring a superhero, thick black outlines, halftone dots, primary colors (red, yellow, blue), speech bubble with bold text, playful and graphic.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a bright pop art style comic panel featuring a superhero to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the playful and graphic.."
digital-modern,"A pixel art scene of a fantasy village at sunset, small square pixels, limited color palette with warm tones, blocky characters and buildings, retro video game style.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a pixel art scene of a fantasy village at sunset to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the retro video game style.."
digital-modern,"A low poly 3D style landscape with geometric mountains and trees, sharp edges, flat color shading in pastel tones, minimalist and clean design.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a low poly 3d style landscape with geometric mountains and trees to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the minimalist and clean design.."
digital-modern,"A vaporwave aesthetic image with neon pink and blue gradients, 80s computer graphics, retro grid lines, palm trees, and Japanese characters, nostalgic and surreal vibe.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a vaporwave aesthetic image with neon pink and blue gradients to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the nostalgic and surreal vibe.."
digital-modern,"A glitch art portrait with digital distortion, pixelation, color shifts, horizontal scan lines, broken pixels, fragmented image composition, futuristic and chaotic.","Animate the scene by adding subtle movement that reinforces the original image concept: bring a glitch art portrait with digital distortion to life using light environmental motion (e.g., wind, flickering light, blinking, or floating particles) to enhance the futuristic and chaotic.."
